Oxysoft export of:	C:\Artinis Oxymon\NIRS Data\Examples\ggg
Export date:	2016/11/12 15:45:24
Start of measurement:	2016-11-12 15:22:18.541

Datafile sample rate:	25.00	Hz
Datafile duration:	227.20	s
Datafile total number of samples:	5680

Description:	

Optode-template:	3 x 1 channel (split) I
Optode distance (mm):	 10.00	10.00	10.00
Optode gradients (mm):	 -	-	-
DPF:	4.00	4.00	4.00

Device id:	10221
# Receivers:	2
# Light sources:	8
# ADC:	0

Light source wavelengths:
device	index	wavelength
1	1	847	nm
1	2	762	nm
1	3	847	nm
1	4	761	nm
1	5	847	nm
1	6	761	nm
1	7	847	nm
1	8	761	nm

Export sample rate:	25.00	Hz
No time span selected, exporting full time span



Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1 - Tx1 O2Hb (ggg)
3	Rx1 - Tx1 HHb (ggg)
4	Rx2a - Tx2 O2Hb (ggg)
5	Rx2a - Tx2 HHb (ggg)
6	Rx2b - Tx3 O2Hb (ggg)
7	Rx2b - Tx3 HHb (ggg)
8	(Event)


1	2	3	4	5	6	7	8
     0	 0.1045	-0.1528	-25.1740	30.0239	-0.7744	-0.4634	 
     1	 0.0348	-0.0512	13.3845	-4.9425	 0.1722	-0.2507	 
     2	 0.0348	-0.0512	 2.3502	-16.5736	 0.3142	-0.3781	 
     3	 0.0348	-0.0512	 9.9792	-14.5553	 0.0560	-0.3202	 
     4	 0.0348	-0.0512	-0.9479	-5.3102	-0.1634	-0.2392	 
     5	 0.0696	-0.1020	-2.0890	-10.0990	-0.2796	-0.3088	 
     6	 0.0696	-0.1020	23.3640	-19.4977	-0.3183	-0.3319	 
     7	 0.0696	-0.1020	-29.6758	24.0021	-0.0989	-0.4130	 
     8	 0.0696	-0.1020	18.5807	-12.5213	-0.1720	-0.3860	 
     9	 0.0696	-0.1020	 6.4797	-22.5965	-0.3527	-0.2817	 
    10	 0.0696	-0.1020	 5.1959	-7.5788	-0.4689	-0.3513	 
    11	 0.0696	-0.1020	23.3640	-19.4977	-0.5464	-0.3977	 
    12	 0.1045	-0.1528	-0.0003	-0.0001	-0.8733	-0.2394	 
    13	 0.1045	-0.1528	11.7055	-9.9825	-0.7314	-0.3668	 
    14	 0.1045	-0.1528	-7.7208	-8.0194	-0.8088	-0.4132	 
    15	 0.1045	-0.1528	16.4029	 6.9872	-0.8088	-0.4132	 
    16	 0.1045	-0.1528	30.6781	-22.1985	-0.8045	-0.3398	 
    17	 0.1045	-0.1528	 0.8312	 5.8776	-0.5076	-0.3745	 
    18	 0.0696	-0.1020	18.5807	-12.5213	-0.1333	-0.3628	 
    19	 0.0348	-0.0512	14.4184	-21.0299	 0.0560	-0.3202	 
    20	 0.0348	-0.0512	35.7868	-37.6165	 0.0560	-0.3202	 
    21	 0.0696	-0.1020	57.8351	-53.4421	-0.2021	-0.2624	 
    22	 0.0696	-0.1020	-0.0003	-0.0001	-0.3871	-0.2316	 
    23	 0.0696	-0.1020	-6.8723	-3.1226	-0.2408	-0.2856	 
    24	 0.0696	-0.1020	50.9888	-34.5338	-0.3097	-0.1852	 
    25	 0.0696	-0.1020	 0.8478	-20.5169	-0.2021	-0.2624	 
    26	 0.0696	-0.1020	 9.9792	-14.5553	-0.2365	-0.2122	 
    27	 0.0696	-0.1020	26.5475	-45.4124	-0.4215	-0.1814	 
    28	 0.0696	-0.1020	 3.8354	-12.2867	-0.4302	-0.3281	 
    29	 0.1045	-0.1528	64.7616	-34.7841	-0.5033	-0.3011	 
    30	 0.0696	-0.1020	20.6985	-7.6433	-0.5377	-0.2509	 
    31	 0.1045	-0.1528	-5.6783	 8.2813	-0.6109	-0.2239	 
    32	 0.1045	-0.1528	 3.8354	-12.2867	-0.8002	-0.2664	 
    33	 0.1045	-0.1528	-7.7208	-8.0194	-0.7270	-0.2935	 
    34	 0.0696	-0.1020	26.0153	-37.9441	-0.4215	-0.1814	 
    35	 0.0348	-0.0512	50.9888	-34.5338	-0.0816	-0.1195	 
    36	 0.0348	-0.0512	24.5946	 3.9623	 0.1034	-0.1503	 
    37	 0.0348	-0.0512	-0.0003	-0.0001	-0.0773	-0.0461	 
    38	 0.0348	-0.0512	-7.7208	-8.0194	-0.0429	-0.0963	 
    39	 0.0348	-0.0512	 9.9792	-14.5553	-0.1548	-0.0925	 
    40	 0.0348	-0.0512	13.3845	-4.9425	-0.1591	-0.1658	 
    41	 0.0348	-0.0512	16.4888	-16.9590	-0.0816	-0.1195	 
    42	 0.0348	-0.0512	 0.8312	 5.8776	-0.1504	-0.0191	 
    43	 0.0348	-0.0512	27.8032	-25.9723	-0.0128	-0.2198	 
    44	 0.0348	-0.0512	-12.0685	 4.4562	-0.4516	-0.0578	 
    45	 0.0348	-0.0512	 3.8354	-12.2867	-0.4172	-0.1080	 
    46	 0.0696	-0.1020	 6.5092	-2.4038	-0.4559	-0.1312	 
    47	 0.0696	-0.1020	41.7663	-21.0827	-0.5678	-0.1273	 
    48	 0.0696	-0.1020	25.0574	-29.4564	-0.5334	-0.1775	 
    49	 0.0696	-0.1020	-11.8221	10.5500	-0.7571	-0.1699	 
    50	 0.0696	-0.1020	 6.4797	-22.5965	-0.6410	-0.1003	 
    51	 0.0348	-0.0512	-5.6783	 8.2813	-0.1203	-0.1426	 
    52	-0.0000	-0.0004	 5.1959	-7.5788	 0.1809	-0.1039	 
    53	-0.0000	-0.0004	-17.7465	12.7376	 0.2196	-0.0808	 
    54	-0.0000	-0.0004	-0.0003	-0.0001	 0.0002	 0.0003	 
    55	 0.0348	-0.0512	26.0153	-37.9441	-0.1504	-0.0191	 
    56	 0.0348	-0.0512	25.8948	-15.2220	-0.0773	-0.0461	 
    57	 0.0348	-0.0512	-17.7465	12.7376	 0.0002	 0.0003	 
    58	 0.0348	-0.0512	-6.1441	 2.2686	 0.0389	 0.0235	 
    59	 0.0348	-0.0512	-31.0984	32.2115	-0.1461	 0.0543	 
    60	 0.0348	-0.0512	-32.9104	 6.4922	-0.1117	 0.0041	 
    61	 0.0348	-0.0512	 3.8354	-12.2867	-0.2580	 0.0581	 
    62	 0.0348	-0.0512	 3.8354	-12.2867	-0.3742	-0.0114	 
    63	 0.0348	-0.0512	-29.6758	24.0021	-0.3354	 0.0117	 
    64	 0.0348	-0.0512	-12.0685	 4.4562	-0.5161	 0.1160	 
    65	 0.0696	-0.1020	33.5745	-18.0579	-0.5549	 0.0928	 
    66	 0.0696	-0.1020	 6.5092	-2.4038	-0.3742	-0.0114	 
    67	 0.0348	-0.0512	11.7055	-9.9825	 0.0432	 0.0968	 
    68	-0.0000	-0.0004	23.3640	-19.4977	 0.2713	 0.1626	 
    69	-0.0000	-0.0004	 2.3502	-16.5736	 0.5251	 0.0313	 
    70	-0.0000	-0.0004	-5.4662	15.0625	 0.1981	 0.1896	 
    71	-0.0000	-0.0004	55.3265	-31.3001	 0.1207	 0.1432	 
    72	 0.0348	-0.0512	-6.1441	 2.2686	 0.1551	 0.0930	 
    73	 0.0348	-0.0512	 9.9792	-14.5553	 0.1163	 0.0698	 
    74	 0.0348	-0.0512	 1.6686	20.1120	 0.1250	 0.2166	 
    75	 0.0348	-0.0512	22.7003	-2.1977	 0.1207	 0.1432	 
    76	 0.0348	-0.0512	62.5857	-51.4480	-0.0643	 0.1740	 
    77	 0.0348	-0.0512	 3.8354	-12.2867	-0.1762	 0.1779	 
    78	 0.0348	-0.0512	 5.1959	-7.5788	-0.2881	 0.1817	 
    79	 0.0348	-0.0512	 0.8478	-20.5169	-0.4344	 0.2357	 
    80	 0.0696	-0.1020	20.9279	-23.4336	-0.3655	 0.1353	 
    81	 0.0696	-0.1020	25.0574	-29.4564	-0.5205	 0.0426	 
    82	 0.0696	-0.1020	 5.1959	-7.5788	-0.4817	 0.0658	 
    83	 0.0696	-0.1020	 5.1959	-7.5788	-0.4817	 0.0658	 
    84	 0.0348	-0.0512	18.5807	-12.5213	-0.1375	 0.2010	 
    85	-0.0000	-0.0004	 1.4090	12.5238	 0.1637	 0.2398	 
    86	-0.0000	-0.0004	20.9279	-23.4336	 0.0949	 0.3401	 
    87	-0.0000	-0.0004	14.4184	-21.0299	 0.1680	 0.3131	 
    88	-0.0000	-0.0004	-23.3784	14.8172	 0.0174	 0.2938	 
    89	 0.0348	-0.0512	35.1172	-28.6731	 0.1637	 0.2398	 
    90	-0.0000	-0.0004	-5.6783	 8.2813	 0.1250	 0.2166	 
    91	 0.0348	-0.0512	28.9116	-35.0778	 0.0949	 0.3401	 
    92	 0.0348	-0.0512	-0.9479	-5.3102	 0.0949	 0.3401	 
    93	 0.0348	-0.0512	27.8032	-25.9723	 0.0131	 0.2204	 
    94	 0.0348	-0.0512	-0.9479	-5.3102	-0.0256	 0.1972	 
    95	 0.0348	-0.0512	-18.3262	-4.1033	-0.2838	 0.2551	 
    96	 0.0348	-0.0512	13.3845	-4.9425	-0.2881	 0.1817	 
    97	 0.0348	-0.0512	 3.8354	-12.2867	-0.4731	 0.2125	 
    98	 0.0348	-0.0512	 3.8354	-12.2867	-0.4731	 0.2125	 
    99	 0.0696	-0.1020	14.9912	-41.1452	-0.4344	 0.2357	 
   100	 0.0696	-0.1020	18.5807	-12.5213	-0.5462	 0.2395	 
   101	 0.0696	-0.1020	30.6781	-22.1985	-0.4774	 0.1391	 
   102	 0.0348	-0.0512	16.4888	-16.9590	-0.1676	 0.3246	 
   103	-0.0000	-0.0004	-36.7303	34.2911	 0.2068	 0.3363	 
   104	-0.0000	-0.0004	15.0205	 0.6381	 0.2068	 0.3363	 
   105	 0.0348	-0.0512	13.3845	-4.9425	 0.1637	 0.2398	 
   106	 0.0348	-0.0512	 0.8312	 5.8776	 0.0174	 0.2938	 
   107	 0.0348	-0.0512	15.0205	 0.6381	-0.0213	 0.2706	 
   108	 0.0348	-0.0512	 1.4090	12.5238	-0.0944	 0.2976	 
   109	 0.0348	-0.0512	-13.8870	-10.5779	-0.0170	 0.3440	 
   110	 0.0348	-0.0512	-12.5041	-1.0430	-0.0557	 0.3208	 
   111	 0.0348	-0.0512	 8.7231	 9.8230	-0.2063	 0.3014	 
   112	 0.0348	-0.0512	-19.0302	27.7552	-0.2106	 0.2280	 
   113	 0.0696	-0.1020	14.4184	-21.0299	-0.3913	 0.3322	 
   114	 0.0696	-0.1020	-18.1196	19.7348	-0.4301	 0.3091	 
   115	 0.0696	-0.1020	16.4029	 6.9872	-0.5032	 0.3361	 
   116	 0.0696	-0.1020	 9.9792	-14.5553	-0.4344	 0.2357	 
   117	 0.0696	-0.1020	-0.9479	-5.3102	-0.5462	 0.2395	 
   118	 0.0696	-0.1020	 3.8354	-12.2867	-0.5806	 0.2897	 
   119	 0.0696	-0.1020	-5.4662	15.0625	-0.3225	 0.2319	 
   120	 0.0348	-0.0512	-0.9479	-5.3102	 0.0174	 0.2938	 
   121	 0.0348	-0.0512	 9.3484	17.2762	 0.1035	 0.4869	 
   122	 0.0348	-0.0512	45.3469	-16.7449	 0.2154	 0.4831	 
   123	 0.0348	-0.0512	16.2582	-30.4054	-0.0127	 0.4173	 
   124	 0.0696	-0.1020	 3.8354	-12.2867	-0.1245	 0.4212	 
   125	 0.0696	-0.1020	31.9326	-31.9952	-0.0557	 0.3208	 
   126	 0.0696	-0.1020	27.8032	-25.9723	-0.1289	 0.3478	 
   127	 0.0696	-0.1020	-17.7465	12.7376	-0.3052	 0.5254	 
   128	 0.0696	-0.1020	11.7055	-9.9825	-0.2751	 0.4018	 
   129	 0.0696	-0.1020	-8.6940	-12.4954	-0.4214	 0.4558	 
   130	 0.0696	-0.1020	-12.5207	25.3516	-0.4989	 0.4094	 
   131	 0.1045	-0.1528	-11.8221	10.5500	-0.5763	 0.3631	 
   132	 0.1045	-0.1528	29.4565	-42.9631	-0.5806	 0.2897	 
   133	 0.1045	-0.1528	20.9279	-23.4336	-0.7226	 0.4171	 
   134	 0.1045	-0.1528	-0.0003	-0.0001	-0.6925	 0.2935	 
   135	 0.1045	-0.1528	13.9471	-33.4878	-0.9464	 0.4247	 
   136	 0.1045	-0.1528	 6.5092	-2.4038	-0.9119	 0.3746	 
   137	 0.1045	-0.1528	46.5496	-28.0592	-0.6151	 0.3399	 
   138	 0.0696	-0.1020	-6.8723	-3.1226	-0.3870	 0.4056	 
   139	 0.0696	-0.1020	-24.0439	21.9225	-0.3095	 0.4520	 
   140	 0.0696	-0.1020	22.7003	-2.1977	-0.0514	 0.3941	 
   141	 0.0696	-0.1020	 0.8312	 5.8776	-0.4902	 0.5562	 
   142	 0.1045	-0.1528	32.5248	-40.3478	-0.4989	 0.4094	 
   143	 0.1045	-0.1528	18.5807	-12.5213	-0.5376	 0.3863	 
   144	 0.1045	-0.1528	-25.1740	30.0239	-0.6064	 0.4866	 
   145	 0.1045	-0.1528	18.5807	-12.5213	-0.4257	 0.3824	 
   146	 0.1045	-0.1528	23.3640	-19.4977	-0.6107	 0.4133	 
   147	 0.1045	-0.1528	-6.1441	 2.2686	-0.8302	 0.4943	 
   148	 0.1045	-0.1528	 9.9792	-14.5553	-0.8001	 0.3707	 
   149	 0.1393	-0.2036	25.0574	-29.4564	-1.1658	 0.5058	 
   150	 0.1393	-0.2036	 5.1959	-7.5788	-1.1357	 0.3822	 
   151	 0.1393	-0.2036	16.4888	-16.9590	-1.1013	 0.3320	 
   152	 0.1393	-0.2036	-12.0685	 4.4562	-1.1013	 0.3320	 
   153	 0.1741	-0.2545	-5.6783	 8.2813	-1.2519	 0.3127	 
   154	 0.1741	-0.2545	 9.9792	-14.5553	-1.3637	 0.3165	 
   155	 0.1741	-0.2545	 3.8354	-12.2867	-1.2131	 0.3358	 
   156	 0.1393	-0.2036	42.7970	-31.5089	-0.8732	 0.3977	 
   157	 0.1045	-0.1528	38.3578	-25.0343	-0.5376	 0.3863	 
   158	 0.1045	-0.1528	14.4184	-21.0299	-0.6796	 0.5137	 
   159	 0.1045	-0.1528	-36.7303	34.2911	-0.6839	 0.4403	 
   160	 0.1393	-0.2036	 5.1959	-7.5788	-0.9033	 0.5213	 
   161	 0.1393	-0.2036	23.3640	-19.4977	-1.0238	 0.3784	 
   162	 0.1393	-0.2036	-2.2901	-27.4921	-0.9851	 0.4016	 
   163	 0.1393	-0.2036	23.3640	-19.4977	-0.9076	 0.4479	 
   164	 0.1393	-0.2036	 8.2746	-18.7612	-0.9464	 0.4247	 
   165	 0.1741	-0.2545	 1.4090	12.5238	-1.0970	 0.4054	 
   166	 0.1741	-0.2545	16.4029	 6.9872	-1.1357	 0.3822	 
   167	 0.1741	-0.2545	 3.8354	-12.2867	-1.3594	 0.3899	 
   168	 0.1741	-0.2545	15.0205	 0.6381	-1.4369	 0.3435	 
   169	 0.1741	-0.2545	-44.7139	45.9353	-1.5100	 0.3705	 
   170	 0.1741	-0.2545	-0.9479	-5.3102	-1.4756	 0.3203	 
   171	 0.2090	-0.3053	 5.1959	-7.5788	-1.7682	 0.4283	 
   172	 0.2090	-0.3053	25.0574	-29.4564	-1.6305	 0.2276	 
   173	 0.2090	-0.3053	20.6985	-7.6433	-1.6606	 0.3511	 
   174	 0.1741	-0.2545	-3.2816	-14.4940	-1.1357	 0.3822	 
   175	 0.1393	-0.2036	-5.6783	 8.2813	-0.8001	 0.3707	 
   176	 0.1393	-0.2036	20.9279	-23.4336	-0.9119	 0.3746	 
   177	 0.1393	-0.2036	20.9279	-23.4336	-1.1314	 0.4556	 
   178	 0.1741	-0.2545	-6.1441	 2.2686	-1.2432	 0.4594	 
   179	-153.3372	57.3749	16.4888	-16.9590	-1.5057	 0.4439	 
   180	-153.3372	57.3749	 8.2746	-18.7612	-1.4670	 0.4671	 
   181	-153.3372	57.3749	22.4020	-32.6741	-1.2820	 0.4362	 
   182	-153.3372	57.3749	 7.7064	 3.3389	-1.3938	 0.4400	 
   183	-153.3372	57.3749	-5.6783	 8.2813	-1.5832	 0.3975	 
   184	-153.3372	57.3749	17.5401	14.2514	-1.6262	 0.3010	 
   185	-153.8521	57.5681	30.8920	-5.2225	-1.9188	 0.4090	 
   186	-153.8173	57.5173	27.8032	-25.9723	-1.8112	 0.3318	 
   187	-153.8173	57.5173	 7.7064	 3.3389	-1.9231	 0.3356	 
   188	-154.2586	57.6830	-0.0003	-0.0001	-2.0349	 0.3394	 
   189	-154.3322	57.7106	-0.0003	-0.0001	-1.9575	 0.3858	 
   190	-154.1115	57.6278	-13.1332	-6.0209	-1.8456	 0.3820	 
   191	-153.5579	57.4577	16.4888	-16.9590	-1.4670	 0.4671	 
   192	-153.1514	57.3428	38.3578	-25.0343	-1.1357	 0.3822	 
   193	-153.1514	57.3428	20.9279	-23.4336	-1.2776	 0.5096	 
   194	-153.4108	57.4025	-6.1441	 2.2686	-1.5014	 0.5172	 
   195	-153.7050	57.5129	 3.8354	-12.2867	-1.5487	 0.3473	 
   196	-153.7785	57.5405	13.3845	-4.9425	-1.7294	 0.4515	 
   197	-153.6314	57.4853	-0.9479	-5.3102	-1.5788	 0.4709	 
   198	-153.7050	57.5129	25.8948	-15.2220	-1.6176	 0.4477	 
   199	-153.7050	57.5129	12.4041	-24.7841	-1.6520	 0.4979	 
   200	-153.7785	57.5405	14.4184	-21.0299	-1.7682	 0.4283	 
   201	-153.8908	57.5450	-0.9479	-5.3102	-1.8112	 0.3318	 
   202	-154.0379	57.6002	 6.4797	-22.5965	-1.9618	 0.3124	 
   203	-154.1850	57.6554	13.3845	-4.9425	-2.0349	 0.3394	 
   204	-154.1850	57.6554	-11.9757	17.4662	-2.1081	 0.3664	 
   205	-154.3322	57.7106	-5.4662	15.0625	-2.1124	 0.2931	 
   206	-154.4057	57.7383	38.3578	-25.0343	-2.1899	 0.2467	 
   207	-153.8908	57.5450	30.8920	-5.2225	-1.9188	 0.4090	 
   208	-153.2249	57.3704	 8.7231	 9.8230	-1.5788	 0.4709	 
   209	-153.0778	57.3152	-28.7908	16.8158	-1.3594	 0.3899	 
   210	-153.2249	57.3704	 6.5092	-2.4038	-1.4670	 0.4671	 
   211	-153.1901	57.3196	-11.8221	10.5500	-1.4713	 0.3937	 
   212	-153.3372	57.3749	35.1172	-28.6731	-1.6950	 0.4013	 
   213	-153.4843	57.4301	15.0205	 0.6381	-1.7294	 0.4515	 
   214	-153.4843	57.4301	-53.9364	59.3863	-1.6176	 0.4477	 
   215	-153.3372	57.3749	18.5807	-12.5213	-1.4713	 0.3937	 
   216	-153.3372	57.3749	-0.0003	-0.0001	-1.6477	 0.5713	 
   217	-153.6314	57.4853	23.3640	-19.4977	-1.8026	 0.4785	 
   218	-153.7785	57.5405	-5.6455	22.8128	-1.8069	 0.4052	 
   219	-153.7785	57.5405	14.4184	-21.0299	-1.9532	 0.4592	 
   220	-153.9257	57.5958	30.8920	-5.2225	-1.9919	 0.4360	 
   221	-154.0379	57.6002	 7.7064	 3.3389	-2.0650	 0.4630	 
   222	-154.1115	57.6278	27.8032	-25.9723	-2.1038	 0.4398	 
   223	-154.0379	57.6002	 5.1959	-7.5788	-2.1726	 0.5402	 
   224	-153.6314	57.4853	15.0205	 0.6381	-1.8714	 0.5789	 
   225	-153.0778	57.3152	16.4029	 6.9872	-1.4583	 0.6138	 
   226	-152.7449	57.2279	-25.1740	30.0239	-1.3077	 0.6332	 
   227	-152.8571	57.2324	 5.1959	-7.5788	-1.2346	 0.6062	 
   228	-153.0043	57.2876	36.5701	-13.5040	-1.4971	 0.5906	 
   229	-153.2249	57.3704	 9.9792	-14.5553	-1.5401	 0.4941	 
   230	-153.1514	57.3428	12.4041	-24.7841	-1.7509	 0.7218	 
   231	-153.0778	57.3152	-2.0890	-10.0990	-1.4971	 0.5906	 
   232	-153.0778	57.3152	 9.9792	-14.5553	-1.4583	 0.6138	 
   233	-153.2985	57.3980	20.9279	-23.4336	-1.6778	 0.6948	 
   234	-153.2249	57.3704	-6.8723	-3.1226	-1.7208	 0.5983	 
   235	-153.4456	57.4533	11.7055	-9.9825	-1.9445	 0.6059	 
   236	-153.5927	57.5085	-40.2812	27.9182	-1.9144	 0.4824	 
   237	-153.6663	57.5361	-50.1263	47.9339	-2.0564	 0.6097	 
   238	-153.6663	57.5361	10.3338	-28.2178	-2.0521	 0.6831	 
   239	-153.8134	57.5913	-6.1441	 2.2686	-1.9876	 0.5094	 
   240	-98.1886	-23.6175	-6.1441	 2.2686	-2.2457	 0.5672	 
   241	-97.7473	-23.7831	-29.6758	24.0021	-1.8370	 0.5287	 
   242	-97.0853	-24.0317	 6.5092	-2.4038	-1.6433	 0.6446	 
   243	-96.9382	-24.0869	-12.5041	-1.0430	-1.4196	 0.6370	 
   244	-97.4297	-23.4496	59.7656	-37.7747	-1.3852	 0.5868	 
   245	-97.5033	-23.4220	-19.0302	27.7552	-1.5315	 0.6408	 
   246	-97.7240	-23.3392	-5.6783	 8.2813	-1.7896	 0.6986	 
   247	-97.7975	-23.3116	-13.1332	-6.0209	-1.9402	 0.6793	 
   248	-97.6156	-23.4176	 6.5092	-2.4038	-1.7552	 0.6485	 
   249	-97.4646	-23.3988	 9.9792	-14.5553	-1.4971	 0.5906	 
   250	-97.5033	-23.4220	16.4888	-16.9590	-1.8240	 0.7488	 
   251	-97.5420	-23.4452	 8.2746	-18.7612	-1.6821	 0.6215	 
   252	-97.6852	-23.3160	18.5807	-12.5213	-1.7896	 0.6986	 
   253	-97.6117	-23.3436	31.9326	-31.9952	-1.8284	 0.6755	 
   254	-97.6504	-23.3668	 0.3340	39.3466	-1.8628	 0.7257	 
   255	-97.7627	-23.3624	35.9661	-45.3668	-1.8671	 0.6523	 
   256	-97.6891	-23.3900	 2.3502	-16.5736	-1.9402	 0.6793	 
   257	-97.7588	-23.2884	16.2582	-30.4054	-1.8327	 0.6021	 
   258	-97.3832	-23.2784	13.3845	-4.9425	-1.4927	 0.6640	 
   259	-97.0425	-23.2177	-12.0685	 4.4562	-1.2260	 0.7529	 
   260	-97.0038	-23.1945	-6.8723	-3.1226	-1.2561	 0.8765	 
   261	-97.1548	-23.2133	-36.2363	52.8505	-1.3722	 0.8069	 
   262	-97.2710	-23.2829	35.1172	-28.6731	-1.5960	 0.8146	 
   263	-97.3832	-23.2784	-6.8723	-3.1226	-1.8585	 0.7990	 
   264	-97.3097	-23.3061	23.3640	-19.4977	-1.7853	 0.7720	 
   265	-97.2710	-23.2829	-3.2816	-14.4940	-1.7122	 0.7450	 
   266	-97.3445	-23.2553	-0.0003	-0.0001	-1.7509	 0.7218	 
   267	-97.4181	-23.2276	39.2467	-34.6959	-1.8240	 0.7488	 
   268	-97.4955	-23.2740	13.3845	-4.9425	-1.9746	 0.7295	 
   269	-97.6078	-23.2696	-17.9165	 0.9556	-1.9445	 0.6059	 
   270	-97.6852	-23.3160	27.8032	-25.9723	-2.3102	 0.7410	 
   271	-97.6852	-23.3160	-5.4662	15.0625	-2.0908	 0.6599	 
   272	-97.7240	-23.3392	-64.5418	63.3025	-2.0951	 0.5866	 
   273	-97.7279	-23.4132	11.7055	-9.9825	-2.2070	 0.5904	 
   274	-97.5769	-23.3944	 0.8312	 5.8776	-2.3102	 0.7410	 
   275	-97.1548	-23.2133	13.3845	-4.9425	-1.6347	 0.7914	 
   276	-96.8876	-23.1250	 2.3502	-16.5736	-1.4454	 0.8339	 
   277	-96.9264	-23.1481	16.4029	 6.9872	-1.5573	 0.8377	 
   278	-96.9999	-23.1205	33.5745	-18.0579	-1.4540	 0.6872	 
   279	-96.9651	-23.1713	-17.9165	 0.9556	-1.5960	 0.8146	 
   280	-97.1161	-23.1901	-6.1441	 2.2686	-1.6003	 0.7412	 
   281	-97.1896	-23.1625	30.6781	-22.1985	-1.7466	 0.7952	 
   282	-97.0038	-23.1945	13.3845	-4.9425	-1.7035	 0.8918	 
   283	-97.1122	-23.1161	-23.3784	14.8172	-1.5960	 0.8146	 
   284	-97.1200	-23.2641	20.9279	-23.4336	-1.7122	 0.7450	 
   285	-97.2671	-23.2089	 9.9792	-14.5553	-1.9703	 0.8029	 
   286	-97.3058	-23.2321	-12.0685	 4.4562	-2.0435	 0.8299	 
   287	-97.3445	-23.2553	25.8948	-15.2220	-1.9359	 0.7527	 
