Oxysoft export of:	C:\Users\NIRS\Desktop\colm1222
Export date:	2016/11/23 17:17:46
Start of measurement:	2016-11-23 17:13:14.284

Datafile sample rate:	10.00	Hz
Datafile duration:	228.00	s
Datafile total number of samples:	2280

Description:	

Optode-template:	3 x 1 channel (split) I
Optode distance (mm):	 10.00	10.00	10.00
Optode gradients (mm):	 -	-	-
DPF:	4.00	4.00	4.00

Device id:	10221
# Receivers:	2
# Light sources:	8
# ADC:	0

Light source wavelengths:
device	index	wavelength
1	1	847	nm
1	2	762	nm
1	3	847	nm
1	4	761	nm
1	5	847	nm
1	6	761	nm
1	7	847	nm
1	8	761	nm

Export sample rate:	10.00	Hz
No time span selected, exporting full time span



Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1 - Tx1 O2Hb (colm1222)
3	Rx1 - Tx1 HHb (colm1222)
4	Rx2a - Tx2 O2Hb (colm1222)
5	Rx2a - Tx2 HHb (colm1222)
6	Rx2b - Tx3 O2Hb (colm1222)
7	Rx2b - Tx3 HHb (colm1222)
8	(Event)


1	2	3	4	5	6	7	8
     0	130.2228	54.4122	30.8099	-6.6164	-53.3936	-6.3348	 
     1	130.2228	54.4122	25.7857	 0.7114	-52.8170	-6.0604	 
     2	130.2228	54.4122	29.7353	-0.7470	-51.5347	-5.8592	 
     3	130.2228	54.4122	29.8464	-5.2110	-51.0527	-5.2875	 
     4	130.2228	54.4122	31.8212	-5.9403	-48.6732	-4.2170	 
     5	130.2228	54.4122	22.9416	 0.6371	-48.4064	-4.1281	 
     6	130.2228	54.4122	32.7847	-7.3456	-49.4004	-4.5108	 
     7	130.2228	54.4122	26.8736	-3.0263	-48.9486	-4.4527	 
     8	130.2228	54.4122	29.8464	-5.2110	-47.8384	-4.0005	 
     9	130.2228	54.4122	24.1668	-5.2129	-48.4838	-4.1745	 
    10	130.2228	54.4122	29.8464	-5.2110	-49.2110	-4.4682	 
    11	130.2228	54.4122	27.8716	-4.4818	-49.8651	-4.7890	 
    12	130.2228	54.4122	26.9334	-5.1850	-49.7833	-4.6692	 
    13	130.2228	54.4122	29.8464	-5.2110	-48.8927	-4.7732	 
    14	130.2228	54.4122	26.8736	-3.0263	-49.4349	-5.0978	 
    15	130.2228	54.4122	30.8099	-6.6164	-49.1638	-4.9355	 
    16	130.2228	54.4122	23.0703	-1.6219	-48.7421	-4.7538	 
    17	130.2228	54.4122	23.9740	-0.8686	-49.3875	-4.9278	 
    18	130.2228	54.4122	27.8716	-4.4818	-50.1664	-5.4649	 
    19	130.2228	54.4122	25.9699	-3.7796	-50.6183	-6.1601	 
    20	130.2228	54.4122	24.8433	-0.0651	-51.3843	-6.4770	 
    21	130.2228	54.4122	32.7980	-5.2139	-51.8705	-6.4849	 
    22	130.2228	54.4122	26.8736	-3.0263	-50.8850	-5.6118	 
    23	130.2228	54.4122	28.8484	-3.7555	-48.8368	-5.0937	 
    24	130.2228	54.4122	24.0682	-3.0774	-48.8927	-4.7732	 
    25	130.2228	54.4122	27.8505	-2.3000	-47.2445	-3.4327	 
    26	130.2228	54.4122	25.9699	-3.7796	-46.2203	-2.5364	 
    27	130.2228	54.4122	21.2418	-0.9467	-46.2848	-2.3627	 
    28	130.2228	54.4122	24.1966	-7.2480	-45.5834	-1.8720	 
    29	130.2228	54.4122	24.1966	-7.2480	-43.3543	-0.1837	 
    30	130.2228	54.4122	17.9282	-3.9213	-42.7604	 0.3841	 
